ID,群组名,来源平台,描述,注册时间,最后登录时间
1,测试群,wx,,2018-07-04 17:32:27,2018-08-04 18:24:39
2,茶,wx,,2018-07-04 17:32:27,2018-08-20 21:53:40
3,亲友,wx,,2018-07-04 17:32:27,2018-08-20 21:53:40
